DATA PGTO;SUBELEMENTO_DESPESA;CDIC
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;MATERIAL FARMACOLOGICO;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;MATERIAL DE CAMA,MESA E BANHO;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;MATERIAL ELETRICO E ELETRONICO;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
04/01/2019;MATERIAL DE EXPEDIENTE;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
02/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
02/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
02/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
02/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
03/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
03/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
03/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
28/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
28/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
28/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
28/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
28/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
28/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
28/01/2019;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
25/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
25/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
25/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
25/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
25/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
25/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
25/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
24/01/2019;GENEROS DE ALIMENTAÄ«O;00140.000911/2018-70.R.08.01/01/2019/31/12/2018.N
